,Name,Price,Recorded_On,Search_Word,Link
134,Final-Fantasy-XI-Treasures-Aht-Urhgan-x,$9.95,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-XI-Treasures-Aht-Urhgan-x/dp/B000EQ7W6U
135,Rectangle-Refrigerator-Magnet-Monster-Lightning,$8.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Rectangle-Refrigerator-Magnet-Monster-Lightning/dp/B014G8K2NQ
136,91751-World-of-Final-Fantasy,$30.73,2019-01-29,final fantasy playstation,https://www.amazon.com/91751-World-of-Final-Fantasy/dp/B010LY9LZE
137,EBTY-Dreams-Inc-Playstation-Fantasy-Sephiroth-Sticker,$18.00,2019-01-29,final fantasy playstation,https://www.amazon.com/EBTY-Dreams-Inc-Playstation-Fantasy-Sephiroth-Sticker/dp/B079T2FVNH
138,Pop-Threads-Fantasy-Buster-Baseball,$11.50,2019-01-29,final fantasy playstation,https://www.amazon.com/Pop-Threads-Fantasy-Buster-Baseball/dp/B073P2RY48
139,Polyurethane-Flexible-Lightweight-Absorbing-Protection,$11.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Polyurethane-Flexible-Lightweight-Absorbing-Protection/dp/B071HD7K2W
140,TOOLOUD-Gamer-Shirt-White-Black,$22.95,2019-01-29,final fantasy playstation,https://www.amazon.com/TOOLOUD-Gamer-Shirt-White-Black/dp/B01D0KKG78
141,SQUARE-ENIX-CO-LTD-FANTASY,$15.99,2019-01-29,final fantasy playstation,https://www.amazon.com/SQUARE-ENIX-CO-LTD-FANTASY/dp/B00QA2C5E6
142,Final-Fantasy-Boss-Fight-Books-ebook,$4.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Boss-Fight-Books-ebook/dp/B074WGTGHF
143,Final-Fantasy-Boss-Fight-Books,$12.51,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Boss-Fight-Books/dp/1940535182
144,Secret-Mana-Playstation-4-PS4,$39.98,2019-01-29,final fantasy playstation,https://www.amazon.com/Secret-Mana-Playstation-4-PS4/dp/B077YD9CVW
145,Final-Fantasy-Limited-Playstation-Console-3,$12.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Limited-Playstation-Console-3/dp/B003B039OU
146,PlayStation-Final-Fantasy-XIII-Favoritos-3,$12.99,2019-01-29,final fantasy playstation,https://www.amazon.com/PlayStation-Final-Fantasy-XIII-Favoritos-3/dp/B01IFCIW7M
147,Legend-Dragoon-Playstation,$190.92,2019-01-29,final fantasy playstation,https://www.amazon.com/Legend-Dragoon-Playstation/dp/B00004S9AF
148,EBTY-Dreams-Inc-Playstation-Fantasy-Cerebrus-Protector,$18.00,2019-01-29,final fantasy playstation,https://www.amazon.com/EBTY-Dreams-Inc-Playstation-Fantasy-Cerebrus-Protector/dp/B0145XTQ6G
149,Spider-Man-Pc,$175.48,2019-01-29,final fantasy playstation,https://www.amazon.com/Spider-Man-Pc/dp/B00004TBGT
150,EBTY-Dreams-Inc-Playstation-Fantasy-Lightning-Sticker,$18.00,2019-01-29,final fantasy playstation,https://www.amazon.com/EBTY-Dreams-Inc-Playstation-Fantasy-Lightning-Sticker/dp/B079SVQHRC
151,Final-Fantasy-XV-Sony-PlayStation-2016,$32.45,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-XV-Sony-PlayStation-2016/dp/B01MQRT92S
152,Square-Enix-Final-Insert-91426,$19.95,2019-01-29,final fantasy playstation,https://www.amazon.com/Square-Enix-Final-Insert-91426/dp/B00ICVIHKE
153,Tekken-3-Pc,$79.95,2019-01-29,final fantasy playstation,https://www.amazon.com/Tekken-3-Pc/dp/B00000K2X5
154,DISSIDIA-FINAL-FANTASY-CHINESE-KOREAN-PlayStation,$59.99,2019-01-29,final fantasy playstation,https://www.amazon.com/DISSIDIA-FINAL-FANTASY-CHINESE-KOREAN-PlayStation/dp/B078Y3DH15
155,Final-Fantasy-XV-Day-One-PS4,$19.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-XV-Day-One-PS4/dp/B01MRX2GL1
156,Final-Fantasy-VII-Japan-PlayStation1-PlayStation2,$299.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-VII-Japan-PlayStation1-PlayStation2/dp/B000069SX6
157,Dragon-Ball-Ultimate-Battle-22-PlayStation,$7.95,2019-01-29,final fantasy playstation,https://www.amazon.com/Dragon-Ball-Ultimate-Battle-22-PlayStation/dp/B00008G97F
158,EBTY-Dreams-Inc-Playstation-Fantasy-Sephiroth-Protector,$18.00,2019-01-29,final fantasy playstation,https://www.amazon.com/EBTY-Dreams-Inc-Playstation-Fantasy-Sephiroth-Protector/dp/B076868148
159,PlayStation-Dualshock-Wireless-Controller-Lightning-3,$179.99,2019-01-29,final fantasy playstation,https://www.amazon.com/PlayStation-Dualshock-Wireless-Controller-Lightning-3/dp/B00GUFFAJ0
160,Square-Enix-Fantasy-Stormblood-Figure,$94.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Square-Enix-Fantasy-Stormblood-Figure/dp/B078MVDR4Q
161,Legacy-Kain-Soul-Reaver-Sega-Dreamcast,$58.49,2019-01-29,final fantasy playstation,https://www.amazon.com/Legacy-Kain-Soul-Reaver-Sega-Dreamcast/dp/B00001ZWMV
162,EBTY-Dreams-Inc-Playstation-Final-Fantasy-Sticker,$18.00,2019-01-29,final fantasy playstation,https://www.amazon.com/EBTY-Dreams-Inc-Playstation-Final-Fantasy-Sticker/dp/B079T43T6X
163,FINAL-FANTASY-XIV-Heavensward-PlayStation,$18.48,2019-01-29,final fantasy playstation,https://www.amazon.com/FINAL-FANTASY-XIV-Heavensward-PlayStation/dp/B0111M6SVU
164,Final-Fantasy-PLAYSTATION-PS1-PS2-SEALED,$30.00,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-PLAYSTATION-PS1-PS2-SEALED/dp/B01FF6Y1I0
165,Final-Fantasy-Gameboy-Advance-Game-Boy,$93.50,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Gameboy-Advance-Game-Boy/dp/B073PS4K9T
166,World-Final-Fantasy-Day-Playstation-Vita,$79.99,2019-01-29,final fantasy playstation,https://www.amazon.com/World-Final-Fantasy-Day-Playstation-Vita/dp/B0117B0F1E
167,Final-Fantasy-Chains-Promathia-Expansion-Pack,$10.86,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Chains-Promathia-Expansion-Pack/dp/B0002VYS3C
168,Final-Fantasy-Greatest-Hits-Sony-Playstation,$22.92,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Greatest-Hits-Sony-Playstation/dp/B004QNTY6I
169,Final-Fantasy-Complete-Collection-Sony-PSP,$49.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Complete-Collection-Sony-PSP/dp/B0063IYF4U
170,Playstation-Slim-Vinyl-FANTASY-YSPS42895-4,$16.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Playstation-Slim-Vinyl-FANTASY-YSPS42895-4/dp/B07KB5ZTDK
171,Celebrity-Deathmatch-PS-Sony-PlayStation,$5.91,2019-01-29,final fantasy playstation,https://www.amazon.com/Celebrity-Deathmatch-PS-Sony-PlayStation/dp/B00008G6R1
172,Playstation-Classic-Pre-Installed-Resident-Directors,$108.88,2019-01-29,final fantasy playstation,https://www.amazon.com/Playstation-Classic-Pre-Installed-Resident-Directors/dp/B07L7W915H
173,Final-Fantasy-Heavensward-Collectors-Japan-6427831011,$157.88,2019-01-29,final fantasy playstation,https://www.amazon.com/Final-Fantasy-Heavensward-Collectors-Japan-6427831011/dp/B00UMQ28MA
174,Fantasy-XIII-2-Limited-Playstation-Console-3,$12.99,2019-01-29,final fantasy playstation,https://www.amazon.com/Fantasy-XIII-2-Limited-Playstation-Console-3/dp/B0071NOM4O
175,Gundam-Breaker-English-Subtitle-Playstation-4,$49.96,2019-01-29,final fantasy playstation,https://www.amazon.com/Gundam-Breaker-English-Subtitle-Playstation-4/dp/B071HF7Y4Z
