,Name,Price,Recorded_On,Search_Word,Link,ISBN-10,ISBN-13,Language,Paperback,Publisher,File Size,Print Length,Publication Date,Simultaneous Device Usage,Failed SS,Series,Hardcover,Page Numbers Source ISBN
24,Naked-Statistics-Stripping-Dread-Data-ebook,$10.94,2019-02-02,Data Science,https://www.amazon.com/Naked-Statistics-Stripping-Dread-Data-ebook/dp/B007Q6XLF2,,,,,,,,,,True,,,
25,Data-Analytics-Made-Accessible-2018-ebook,$9.99,2019-02-02,Data Science,https://www.amazon.com/Data-Analytics-Made-Accessible-2018-ebook/dp/B00K2I2JL8,,,,,,,,,,True,,,
26,Introduction-Data-Science-Jeffrey-Saltz,$48.60,2019-02-02,Data Science,https://www.amazon.com/Introduction-Data-Science-Jeffrey-Saltz/dp/150637753X,150637753X,978-1506377537,English,288 pages,"SAGE Publications, Inc; First edition (October 6, 2017)",,,,,,,,
27,Introduction-Data-Science-Jeffrey-Saltz-ebook,$31.00,2019-02-02,Data Science,https://www.amazon.com/Introduction-Data-Science-Jeffrey-Saltz-ebook/dp/B075C8F6B3,,,,,,,,,,True,,,
28,Science-Design-Manual-Texts-Computer,$54.92,2019-02-02,Data Science,https://www.amazon.com/Science-Design-Manual-Texts-Computer/dp/3319554433,9783319554433,,English,,"Springer; 1st ed. 2017 edition (July 1, 2017)",,,,,,Texts in Computer Science<br/>,445 pages,
29,Science-Design-Manual-Texts-Computer-ebook,$55.99,2019-02-02,Data Science,https://www.amazon.com/Science-Design-Manual-Texts-Computer-ebook/dp/B073N5ZDMK,,,,,,,,,,True,,,
30,Data-Science-Dummies-Computers-ebook,$15.99,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Dummies-Computers-ebook/dp/B06WWPG3NH,,,,,,,,,,True,,,
31,Data-Science-Dummies-2nd-Computers,$22.82,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Dummies-2nd-Computers/dp/1119327636,9781119327639,,English,384 pages,"For Dummies; 2 edition (March 6, 2017)",,,,,,For Dummies (Computers)<br/>,,
32,Data-Science-Executives-Leveraging-Intelligence-ebook,$9.99,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Executives-Leveraging-Intelligence-ebook/dp/B07JBBNJQW,,,,,"Lioncrest Publishing (October 10, 2018)",4223 KB,184 pages,"October 10, 2018",Unlimited,,,,
33,Data-Science-Executives-Leveraging-Intelligence,$15.80,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Executives-Leveraging-Intelligence/dp/1544511256,1544511256,978-1544511252,English,266 pages,"Lioncrest Publishing (October 12, 2018)",,,,,,,,
34,Storytelling-Data-Visualization-Business-Professionals,$20.12,2019-02-02,Data Science,https://www.amazon.com/Storytelling-Data-Visualization-Business-Professionals/dp/1119002257,1119002257,978-1119002253,English,288 pages,"Wiley; 1 edition (November 2, 2015)",,,,,,,,
